contractID;rent_per_day;currency
2;3000;EUR
4;2000;USD
6;3500;GBP
8;2800;JPY
10;2500;AUD
12;2700;CAD
14;3300;EUR
16;3100;CHF
18;2600;GBP
20;3000;USD
22;3600;JPY
24;2550;CAD
26;3200;CHF
28;1950;AUD
30;3400;GBP
32;2900;USD
34;3550;JPY
36;2400;EUR
38;3700;CAD
40;3100;CHF
42;2450;AUD
44;3300;EUR
46;3000;GBP
48;2700;JPY
50;3800;USD
52;3050;CAD
54;2600;CHF
56;3250;AUD
58;3850;GBP
60;2800;USD
62;3450;JPY
64;2500;EUR
66;3600;CAD
68;3200;CHF
70;2000;AUD
72;3250;GBP
74;2550;USD
76;3650;JPY
78;2450;EUR
80;3900;CAD
82;3150;CHF
84;3300;AUD
86;3350;GBP
88;2750;USD
90;3700;JPY
92;2400;EUR
94;3800;CAD
96;3300;CHF
98;2350;AUD
100;3200;GBP
102;2600;USD
104;3600;JPY
106;2500;EUR
108;3950;CAD
110;3400;CHF
112;2000;AUD
114;3500;GBP
116;2850;USD
118;3750;JPY
120;2400;EUR
122;3900;CAD
124;3150;CHF
126;2250;AUD
128;3400;GBP
130;2650;USD
132;3650;JPY
134;2450;EUR
136;4000;CAD
138;3300;CHF
140;2100;AUD
142;3500;GBP
144;2750;USD
146;3800;JPY
148;2350;EUR
150;3850;CAD
152;3450;CHF
154;2200;AUD
156;3550;GBP
158;2800;USD
160;3700;JPY
162;2300;EUR
164;3950;CAD
166;3150;CHF
168;2050;AUD
170;3400;GBP
172;2700;USD
174;3800;JPY
176;2550;EUR
178;3900;CAD
180;3350;CHF
182;2100;AUD
184;3650;GBP
186;2850;USD
188;4000;JPY
190;2500;EUR
192;3700;CAD
194;3200;CHF
196;2150;AUD
198;3500;GBP
200;2750;USD
202;3850;JPY
204;2400;EUR
206;3950;CAD
208;3300;CHF
210;2050;AUD
212;3400;GBP
214;2550;USD
216;3750;JPY
218;2350;EUR
220;3850;CAD
222;3450;CHF
224;2000;AUD
226;3550;GBP
228;2600;USD
230;3700;JPY
232;2250;EUR
234;3700;CAD
236;3500;CHF
238;2150;AUD
240;3350;GBP
242;2750;USD
244;3900;JPY
246;2100;EUR
248;3800;CAD
250;3200;CHF
252;1950;AUD
254;3600;GBP
256;2450;USD
258;3750;JPY
260;2300;EUR
262;3950;CAD
264;3350;CHF
266;2050;AUD
268;3450;GBP
270;2800;USD
272;3850;JPY
274;2250;EUR
276;4000;CAD
278;3300;CHF
280;2000;AUD
282;3500;GBP
284;2650;USD
286;3800;JPY
288;2150;EUR
290;3900;CAD
292;3400;CHF
294;1950;AUD
296;3550;GBP
298;2750;USD
